STATE,YEAR,MONTH_NAME,EVENT_TYPE
FLORIDA,2001,January  ,Frost/Freeze
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
ALABAMA,2001,January  ,Winter Storm
FLORIDA,2001,January  ,Frost/Freeze
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
NORTH CAROLINA,2001,January  ,Winter Storm
NORTH CAROLINA,2001,January  ,Winter Storm
VIRGINIA,2001,January  ,Winter Storm
VIRGINIA,2001,January  ,Winter Storm
VIRGINIA,2001,January  ,Winter Storm
VIRGINIA,2001,January  ,Winter Storm
VIRGINIA,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
TENNESSEE,2001,January  ,Winter Storm
MISSISSIPPI,2001,January  ,Winter Storm
MISSISSIPPI,2001,January  ,Winter Storm
MISSISSIPPI,2001,January  ,Winter Storm
ALABAMA,2001,January  ,Winter Storm
ALABAMA,2001,January  ,Winter Storm
ALABAMA,2001,January  ,Winter Storm
ALABAMA,2001,January  ,Winter Storm
ALABAMA,2001,January  ,Winter Storm
CALIFORNIA,2001,January  ,Dense Fog
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
FLORIDA,2001,January  ,Extreme Cold/Wind Chill
ALASKA,2001,January  ,Heavy Snow
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
GEORGIA,2001,January  ,Winter Weather
